stock_id,name,sector,risk_profile
BOSS,Borneo Olah Sarana Sukses Tbk.,Energy,Tinggi
BPFI,Woori Finance Indonesia Tbk.,Financials,Sedang
BPII,Batavia Prosperindo Internasio,Financials,Rendah
BPTR,Batavia Prosperindo Trans Tbk.,Transportation and Logistic,Tinggi
BRAM,Indo Kordsa Tbk.,Consumer Cyclicals,Tinggi
BREN,Barito Renewables Energy Tbk.,Infrastructures,Tinggi
BRIS,Bank Syariah Indonesia Tbk.,Financials,Sedang
BRMS,Bumi Resources Minerals Tbk.,Basic Materials,Sedang
BRNA,Berlina Tbk.,Basic Materials,Sedang
BRPT,Barito Pacific Tbk.,Basic Materials,Sedang
BRRC,Raja Roti Cemerlang Tbk.,Consumer Non-Cyclicals,Tinggi
BSBK,Wulandari Bangun Laksana Tbk.,Properties and Real Estate,Tinggi
BSDE,Bumi Serpong Damai Tbk.,Properties and Real Estate,Sedang
BSIM,Bank Sinarmas Tbk.,Financials,Sedang
BSML,Bintang Samudera Mandiri Lines,Energy,Tinggi
BSSR,Baramulti Suksessarana Tbk.,Energy,Sedang
BSWD,Bank Of India Indonesia Tbk.,Financials,Rendah
BTEK,Bumi Teknokultura Unggul Tbk,Consumer Non-Cyclicals,Tinggi
BTEL,Bakrie Telecom Tbk.,Infrastructures,Rendah
BTON,Betonjaya Manunggal Tbk.,Basic Materials,Sedang
BTPN,Bank SMBC Indonesia Tbk.,Financials,Rendah
BTPS,Bank BTPN Syariah Tbk.,Financials,Sedang
BUAH,Segar Kumala Indonesia Tbk.,Consumer Non-Cyclicals,Sedang
BUDI,Budi Starch & Sweetener Tbk.,Consumer Non-Cyclicals,Sedang
BUKA,Bukalapak.com Tbk.,Technology,Sedang
BUKK,Bukaka Teknik Utama Tbk.,Infrastructures,Sedang
BULL,Buana Lintas Lautan Tbk.,Energy,Sedang
BUMI,Bumi Resources Tbk.,Energy,Sedang
BUVA,Bukit Uluwatu Villa Tbk.,Consumer Cyclicals,Sedang
BVIC,Bank Victoria International Tb,Financials,Tinggi
BWPT,Eagle High Plantations Tbk.,Consumer Non-Cyclicals,Sedang
BYAN,Bayan Resources Tbk.,Energy,Sedang
CAKK,Cahayaputra Asa Keramik Tbk.,Industrials,Tinggi
CAMP,Campina Ice Cream Industry Tbk,Consumer Non-Cyclicals,Sedang
CANI,Capitol Nusantara Indonesia Tb,Energy,Tinggi
CARE,Metro Healthcare Indonesia Tbk,Healthcare,Sedang
CARS,Industri dan Perdagangan Bintr,Consumer Cyclicals,Sedang
CASA,Capital Financial Indonesia Tb,Financials,Sedang
CASH,Cashlez Worldwide Indonesia Tb,Technology,Sedang
CASS,Cardig Aero Services Tbk.,Infrastructures,Sedang
CBDK,Bangun Kosambi Sukses Tbk.,Properties and Real Estate,Tinggi
CBMF,Cahaya Bintang Medan Tbk.,Consumer Cyclicals,Sedang
CBPE,Citra Buana Prasida Tbk.,Properties and Real Estate,Sedang
CBRE,Cakra Buana Resources Energi T,Energy,Tinggi
CBUT,Citra Borneo Utama Tbk.,Consumer Non-Cyclicals,Tinggi
CCSI,Communication Cable Systems In,Industrials,Sedang
CEKA,Wilmar Cahaya Indonesia Tbk.,Consumer Non-Cyclicals,Sedang
CENT,Centratama Telekomunikasi Indo,Infrastructures,Sedang
CFIN,Clipan Finance Indonesia Tbk.,Financials,Sedang
CGAS,Citra Nusantara Gemilang Tbk.,Energy,Tinggi
CHEM,Chemstar Indonesia Tbk.,Basic Materials,Tinggi
CHIP,Pelita Teknologi Global Tbk.,Technology,Tinggi
CINT,Chitose Internasional Tbk.,Consumer Cyclicals,Sedang
CITA,Cita Mineral Investindo Tbk.,Basic Materials,Sedang
CITY,Natura City Developments Tbk.,Properties and Real Estate,Tinggi
CLAY,Citra Putra Realty Tbk.,Consumer Cyclicals,Tinggi
CLEO,Sariguna Primatirta Tbk.,Consumer Non-Cyclicals,Sedang
CLPI,Colorpak Indonesia Tbk.,Basic Materials,Rendah
CMNP,Citra Marga Nusaphala Persada ,Infrastructures,Sedang
CMNT,Cemindo Gemilang Tbk.,Basic Materials,Sedang
CMPP,AirAsia Indonesia Tbk.,Transportation and Logistic,Sedang
CMRY,Cisarua Mountain Dairy Tbk.,Consumer Non-Cyclicals,Sedang
CNKO,Exploitasi Energi Indonesia Tb,Energy,Sedang
CNMA,Nusantara Sejahtera Raya Tbk.,Consumer Cyclicals,Sedang
CNTX,Century Textile Industry Tbk.,Consumer Cyclicals,Tinggi
COAL,Black Diamond Resources Tbk.,Energy,Tinggi
COCO,Wahana Interfood Nusantara Tbk,Consumer Non-Cyclicals,Sedang
COWL,Cowell Development Tbk.,Properties and Real Estate,Rendah
CPIN,Charoen Pokphand Indonesia Tbk,Consumer Non-Cyclicals,Sedang
CPRI,Capri Nusa Satu Properti Tbk.,Properties and Real Estate,Sedang
CPRO,Central Proteina Prima Tbk.,Consumer Non-Cyclicals,Sedang
CRAB,Toba Surimi Industries Tbk.,Consumer Non-Cyclicals,Sedang
CRSN,Carsurin Tbk.,Industrials,Tinggi
CSAP,Catur Sentosa Adiprana Tbk.,Consumer Cyclicals,Sedang
CSIS,Cahayasakti Investindo Sukses ,Properties and Real Estate,Tinggi
CSMI,Cipta Selera Murni Tbk.,Consumer Cyclicals,Sedang
CSRA,Cisadane Sawit Raya Tbk.,Consumer Non-Cyclicals,Sedang
CTBN,Citra Tubindo Tbk.,Basic Materials,Tinggi
CTRA,Ciputra Development Tbk.,Properties and Real Estate,Sedang
CTTH,Citatah Tbk.,Industrials,Sedang
CUAN,Petrindo Jaya Kreasi Tbk.,Energy,Tinggi
CYBR,ITSEC Asia Tbk.,Technology,Sedang
DAAZ,Daaz Bara Lestari Tbk.,Basic Materials,Tinggi
DADA,Diamond Citra Propertindo Tbk.,Properties and Real Estate,Tinggi
