stock_id,name,sector,avg_return_1m,volatility_1m,avg_return_3m,volatility_3m,avg_return_6m,volatility_6m,avg_return_1y,volatility_1y,risk_profile
ARTI,Ratu Prabu Energi Tbk,Energy,0.0,0.0,0.0,0.0,-0.0,0.4564,-0.0405,0.225,Sedang
ARTO,Bank Jago Tbk.,Financials,-0.0041,0.0312,-0.0018,0.0288,0.001,0.0321,-0.0,0.0386,Tinggi
ASBI,Asuransi Bintang Tbk.,Financials,-0.0096,0.046,-0.0137,0.0663,-0.006,0.0607,0.0004,0.054,Sedang
ASDM,Asuransi Dayin Mitra Tbk.,Financials,-0.0009,0.0103,-0.0004,0.0151,0.0009,0.0146,0.0005,0.02,Rendah
ASGR,Astra Graphia Tbk.,Industrials,-0.0006,0.0155,0.0008,0.0157,0.001,0.0136,-0.0001,0.0146,Rendah
ASHA,Cilacap Samudera Fishing Indus,Consumer Non-Cyclicals,0.0039,0.0924,0.0,0.0835,-0.0101,0.0895,-0.0127,0.0919,Tinggi
ASII,Astra International Tbk.,Industrials,-0.0021,0.0159,-0.0,0.017,0.0004,0.0175,-0.0003,0.0165,Sedang
ASJT,Asuransi Jasa Tania Tbk.,Financials,-0.0016,0.0149,-0.0009,0.0172,-0.0002,0.0192,0.0,0.0216,Sedang
ASLC,Autopedia Sukses Lestari Tbk.,Consumer Cyclicals,-0.005,0.0342,-0.0045,0.0276,-0.0009,0.0412,-0.0007,0.0395,Sedang
ASLI,Asri Karya Lestari Tbk.,Infrastructures,0.0002,0.0229,0.0002,0.0229,0.0002,0.0229,-0.0346,0.1058,Sedang
ASMI,Asuransi Maximus Graha Persada,Financials,0.0048,0.1025,0.0019,0.0944,0.0081,0.1193,-0.005,0.1203,Tinggi
ASPI,Andalan Sakti Primaindo Tbk.,Properties and Real Estate,-0.0071,0.0158,-0.0139,0.0415,-0.0018,0.0404,-0.002,0.0451,Sedang
ASRI,Alam Sutera Realty Tbk.,Properties and Real Estate,-0.004,0.0332,-0.0058,0.0368,0.0011,0.0388,-0.0007,0.0304,Sedang
ASRM,Asuransi Ramayana Tbk.,Financials,0.0009,0.0253,-0.0005,0.0195,-0.0001,0.0211,-0.0004,0.0213,Sedang
ASSA,Adi Sarana Armada Tbk.,Transportation and Logistic,-0.0051,0.0193,-0.0007,0.0287,-0.0004,0.0287,-0.0012,0.0327,Sedang
ATAP,Trimitra Prawara Goldland Tbk.,Properties and Real Estate,0.0087,0.0604,-0.0002,0.0635,-0.0046,0.0729,-0.0021,0.0654,Tinggi
ATIC,Anabatic Technologies Tbk.,Technology,0.0042,0.0401,0.0,0.0281,0.0007,0.0257,0.0009,0.0297,Tinggi
ATLA,Atlantis Subsea Indonesia Tbk.,Energy,0.0,0.0,0.0,0.0,-0.033,0.1687,-0.0009,0.1939,Tinggi
AUTO,Astra Otoparts Tbk.,Consumer Cyclicals,-0.0043,0.0197,-0.0005,0.0213,0.0009,0.0232,-0.0002,0.0259,Sedang
AVIA,Avia Avian Tbk.,Basic Materials,0.0011,0.0268,-0.0011,0.0236,-0.0009,0.0234,-0.0007,0.0259,Sedang
AWAN,Era Digital Media Tbk.,Technology,-0.0011,0.0298,0.002,0.0355,0.0003,0.0356,0.0016,0.0409,Tinggi
AXIO,Tera Data Indonusa Tbk.,Technology,-0.0079,0.0229,0.0005,0.0335,-0.0026,0.0289,0.0009,0.0414,Sedang
AYAM,Janu Putra Sejahtera Tbk.,Consumer Non-Cyclicals,-0.0027,0.0337,0.0029,0.0361,0.0025,0.0303,0.0014,0.0496,Sedang
AYLS,Agro Yasa Lestari Tbk.,Basic Materials,0.0255,0.1419,0.014,0.1263,0.0141,0.1266,0.006,0.0975,Tinggi
BABP,Bank MNC Internasional Tbk.,Financials,-0.0026,0.031,-0.0039,0.035,0.0024,0.0528,-0.0005,0.0519,Sedang
BABY,Multitrend Indo Tbk.,Consumer Cyclicals,0.0073,0.0384,0.0067,0.0553,0.0117,0.0617,0.0031,0.0664,Tinggi
BACA,Bank Capital Indonesia Tbk.,Financials,0.0,0.0079,0.0001,0.015,0.0002,0.0127,-0.0001,0.0115,Sedang
BAIK,Bersama Mencapai Puncak Tbk.,Consumer Cyclicals,-0.0017,0.0175,0.002,0.0978,0.0074,0.1297,-0.0008,0.135,Tinggi
BAJA,Saranacentral Bajatama Tbk.,Basic Materials,-0.0026,0.0178,0.0012,0.062,0.0006,0.0591,0.0004,0.0638,Tinggi
BALI,Bali Towerindo Sentra Tbk.,Infrastructures,0.0053,0.0548,0.0095,0.0522,0.0035,0.0494,0.0034,0.0538,Sedang
BANK,Bank Aladin Syariah Tbk.,Financials,-0.0002,0.015,-0.0008,0.0207,-0.0013,0.0184,-0.0012,0.0283,Sedang
BAPA,Bekasi Asri Pemula Tbk.,Properties and Real Estate,0.003,0.0538,-0.0006,0.0394,0.0022,0.0462,-0.0006,0.0543,Tinggi
BAPI,Bhakti Agung Propertindo Tbk.,Properties and Real Estate,-0.0083,0.0932,0.0033,0.1008,-0.0162,0.0966,-0.0162,0.0966,Sedang
BATA,Sepatu Bata Tbk.,Consumer Cyclicals,0.0067,0.0204,-0.0044,0.0291,-0.0051,0.0422,-0.0083,0.0523,Sedang
BATR,Benteng Api Technic Tbk.,Basic Materials,-0.0089,0.0216,-0.0004,0.0708,-0.0039,0.0689,-0.0039,0.0689,Tinggi
BAUT,Mitra Angkasa Sejahtera Tbk.,Consumer Cyclicals,0.0087,0.0654,-0.0038,0.0635,0.0061,0.0735,-0.0075,0.0821,Sedang
BAYU,Bayu Buana Tbk,Consumer Cyclicals,-0.0005,0.0123,-0.0001,0.0139,0.001,0.0176,0.0004,0.0204,Sedang
BBCA,Bank Central Asia Tbk.,Financials,-0.0043,0.0157,-0.0013,0.0167,-0.0003,0.0159,0.0002,0.0149,Rendah
BBHI,Allo Bank Indonesia Tbk.,Financials,-0.0073,0.0647,-0.004,0.0429,-0.0019,0.0395,-0.0023,0.0362,Tinggi
BBKP,Bank KB Bukopin Tbk.,Financials,-0.0008,0.0219,-0.0027,0.0395,-0.0009,0.0465,-0.0021,0.0392,Sedang
BBLD,Buana Finance Tbk.,Financials,0.0029,0.0487,0.0005,0.0335,0.0027,0.0467,-0.0,0.0439,Sedang
BBMD,Bank Mestika Dharma Tbk.,Financials,-0.0065,0.0252,-0.0021,0.0241,-0.0005,0.0304,0.0001,0.0318,Sedang
BBNI,Bank Negara Indonesia (Persero,Financials,-0.0023,0.032,-0.0021,0.0246,-0.0005,0.023,0.0004,0.0203,Sedang
BBRI,Bank Rakyat Indonesia (Persero,Financials,-0.0004,0.0268,-0.0021,0.0213,-0.0006,0.0202,-0.0005,0.0192,Sedang
BBRM,Pelayaran Nasional Bina Buana ,Energy,0.0003,0.0413,-0.0012,0.0352,0.0018,0.043,0.0016,0.0439,Tinggi
BBSI,Krom Bank Indonesia Tbk.,Financials,-0.0024,0.0282,-0.0002,0.0258,-0.0001,0.0498,0.0014,0.0399,Sedang
BBSS,Bumi Benowo Sukses Sejahtera T,Properties and Real Estate,-0.0044,0.0548,-0.0005,0.0425,0.0028,0.0483,0.0061,0.0694,Tinggi
BBTN,Bank Tabungan Negara (Persero),Financials,-0.0054,0.0215,-0.0035,0.0197,-0.0011,0.0199,-0.0004,0.0201,Sedang
BBYB,Bank Neo Commerce Tbk.,Financials,-0.0066,0.0243,-0.0032,0.0401,-0.0002,0.0389,-0.0009,0.0547,Tinggi
BCAP,MNC Kapital Indonesia Tbk.,Financials,-0.0007,0.0415,-0.0042,0.0503,0.0038,0.0752,0.0019,0.0645,Tinggi
BCIC,Bank JTrust Indonesia Tbk.,Financials,-0.0135,0.0325,0.0053,0.049,0.0035,0.0449,0.0015,0.04,Sedang
BCIP,Bumi Citra Permai Tbk.,Properties and Real Estate,0.001,0.0696,0.0026,0.0698,0.0021,0.0591,-0.0005,0.0441,Sedang
BDKR,Berdikari Pondasi Perkasa Tbk.,Infrastructures,-0.0038,0.0201,-0.0159,0.0886,-0.0038,0.0768,-0.0004,0.0591,Tinggi
BDMN,Bank Danamon Indonesia Tbk.,Financials,-0.0009,0.0126,-0.0002,0.0106,-0.0004,0.0112,-0.0004,0.0123,Sedang
BEBS,Berkah Beton Sadaya Tbk.,Basic Materials,0.0483,0.2398,0.0095,0.1922,-0.0073,0.1891,-0.0073,0.1891,Tinggi
