stock_id,name,sector ,sub_sector 
JKON ,Jaya Konstruksi Manggala Pratama Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
JKSW ,Jakarta Kyoei Steel Works Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
JPFA ,JAPFA Comfeed Indonesia Tbk. ,Basic Industry and Chemicals ,Animal Feed 
JPRS ,Jaya Pari Steel Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
JRPT ,Jaya Real Property Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
JSMR ,Jasa Marga (Persero) Tbk. ,"Infrastructure, Utilities And Transportation ","Toll Road, Airport, Harbor And Allied Products "
JSPT ,Jakarta Setiabudi Internasional Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
JTPE ,Jasuindo Tiga Perkasa Tbk. ,"Trade, Services & Investment ","Advertising, Printing And Media "
KAEF ,Kimia Farma (Persero) Tbk. ,Consumer Goods Industry ,Pharmaceuticals 
KARW ,ICTSI Jasa Prima Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
KBLI ,KMI Wire and Cable Tbk. ,Miscellaneous Industry ,Cable 
KBLM ,Kabelindo Murni Tbk. ,Miscellaneous Industry ,Cable 
KBLV ,First Media Tbk. ,"Trade, Services & Investment ","Advertising, Printing And Media "
KBRI ,Kertas Basuki Rachmat Indonesia Tbk. ,Basic Industry and Chemicals ,Pulp & Paper 
KDSI ,Kedawung Setia Industrial Tbk. ,Consumer Goods Industry ,Houseware 
KIAS ,Keramika Indonesia Assosiasi Tbk. ,Basic Industry and Chemicals ,"Ceramics, Glass, Porcelain "
KICI ,Kedaung Indah Can Tbk. ,Consumer Goods Industry ,Houseware 
KIJA ,Kawasan Industri Jababeka Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
KKGI ,Resource Alam Indonesia Tbk. ,Mining ,Coal Mining 
KLBF ,Kalbe Farma Tbk. ,Consumer Goods Industry ,Pharmaceuticals 
KOBX ,Kobexindo Tractors Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
KOIN ,Kokoh Inti Arebama Tbk. ,"Trade, Services & Investment ",Retail Trade 
KONI ,Perdana Bangun Pusaka Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
KPIG ,MNC Land Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
KRAH ,Grand Kartech Tbk. ,Miscellaneous Industry ,Machinery And Heavy Equipment 
KRAS ,Krakatau Steel (Persero) Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
KREN ,Kresna Graha Sekurindo Tbk. ,Finance ,Securities Company 
LAMI ,Lamicitra Nusantara Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
LAPD ,Leyand International Tbk. ,"Infrastructure, Utilities And Transportation ",Energy 
LCGP ,Eureka Prima Jakarta Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
LEAD ,Logindo Samudramakmur Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
LION ,Lion Metal Works Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
LMAS ,Limas Centric Indonesia Tbk. ,"Trade, Services & Investment ",Computer And Services 
LMPI ,Langgeng Makmur Industri Tbk. ,Consumer Goods Industry ,Houseware 
LMSH ,Lionmesh Prima Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
LPCK ,Lippo Cikarang Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
LPGI ,Lippo General Insurance Tbk. ,Finance ,Insurance 
LPIN ,Multi Prima Sejahtera Tbk. ,Miscellaneous Industry ,Automotive And Components 
LPKR ,Lippo Karawaci Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
LPLI ,Star Pacific Tbk. ,"Trade, Services & Investment ","Advertising, Printing And Media "
LPPF ,Matahari Department Store Tbk. ,"Trade, Services & Investment ",Retail Trade 
LPPS ,Lippo Securities Tbk. ,Finance ,Others 
LSIP ,PP London Sumatra Indonesia Tbk. ,Agriculture ,Plantation 
LTLS ,Lautan Luas Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
MAGP ,Multi Agro Gemilang Plantation Tbk ,Agriculture ,Plantation 
MAIN ,Malindo Feedmill Tbk. ,Basic Industry and Chemicals ,Animal Feed 
MAMI ,Mas Murni Indonesia Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
MAMIP ,Mas Murni Tbk. (Preferred Stock) ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
MAPI ,Mitra Adiperkasa Tbk. ,"Trade, Services & Investment ",Retail Trade 
MASA ,Multistrada Arah Sarana Tbk. ,Miscellaneous Industry ,Automotive And Components 
MAYA ,Bank Mayapada Internasional Tbk. ,Finance ,Bank 
MBSS ,Mitrabahtera Segara Sejati Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
MBTO ,Martina Berto Tbk. ,Consumer Goods Industry ,Cosmetics And Household 
MCOR ,Bank Windu Kentjana International Tbk. ,Finance ,Bank 
MDLN ,Modernland Realty Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
